province,fire
Trà Vinh,27
Phú Thọ,10
Cà Mau,24
Thanh Hoá,47
Ninh Thuận,32
Hồ Chí Minh,47
Quảng Nam,267
Bình Định,296
Bắc Giang,33
Đồng Nai,63
Bắc Kạn,11
Nghệ An,72
Bình Thuận,56
Tiền Giang,7
Đắk Nông,10
Quảng Trị,43
Long An,80
Điện Biên,2
Lai Châu,3
Quảng Ngãi,253
Hà Tĩnh,85
Thái Nguyên,10
Đồng Tháp,53
Sóc Trăng,39
Lâm Đồng,15
Khánh Hòa,84
Kiên Giang,71
Thừa Thiên Huế,67
Quảng Ninh,23
Bến Tre,6
Gia Lai,116
Vĩnh Phúc,19
Lào Cai,3
Hưng Yên,0
Bà Rịa-Vũng Tàu,57
Phú Yên,306
Cao Bằng,2
Hải Phòng,17
Tuyên Quang,7
Đắk Lắk,49
Hải Dương,33
Kon Tum,10
Bạc Liêu,17
Đà Nẵng,13
Hòa Bình,8
Hà Giang,6
Thái Bình,12
Lạng Sơn,5
Sơn La,5
Cần Thơ,4
Vĩnh Long,1
Ninh Bình,22
Quảng Bình,92
Hậu Giang,9
Hà Nội,48
Bắc Ninh,39
Bình Phước,27
Hà Nam,10
Tây Ninh,41
Bình Dương,49
Nam Định,23
Yên Bái,1
An Giang,114
